algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,33,33,40,0.009037971496582031,True
DFS,1,477,477,902,0.29601192474365234,True
DLS,1,0,0,0,0.0025322437286376953,False
UCS e1,1,33,32,0,0.020374536514282227,True
UCS e2,1,33,0,40,0.022355079650878906,True
A*_e1,1,33,33,0,0.001001596450805664,True
A*_e2,1,33,0,32,0.00516819953918457,True
aleatorio,1,0,0,0,0.0,False
BFS,2,59,59,81,0.03178858757019043,True
DFS,2,1123,1123,2157,0.2418804168701172,True
DLS,2,0,0,0,0.0020105838775634766,False
UCS e1,2,59,58,0,0.12447571754455566,True
UCS e2,2,59,0,81,0.12964916229248047,True
A*_e1,2,59,59,0,0.004521846771240234,True
A*_e2,2,59,0,58,0.005000591278076172,True
aleatorio,2,0,0,0,0.0025072097778320312,False
BFS,3,51,51,118,0.016061782836914062,True
DFS,3,625,625,1243,0.24920010566711426,True
DLS,3,0,0,0,0.001988649368286133,False
UCS e1,3,51,50,0,0.05460953712463379,True
UCS e2,3,51,0,118,0.16536450386047363,True
A*_e1,3,51,51,0,0.008760690689086914,True
A*_e2,3,51,0,50,0.009044408798217773,True
aleatorio,3,0,0,0,0.001993894577026367,False
BFS,4,9,9,18,0.003257274627685547,True
DFS,4,449,449,881,0.10530948638916016,True
DLS,4,0,0,0,0.0019981861114501953,False
UCS e1,4,9,8,0,0.003003835678100586,True
UCS e2,4,9,0,18,0.00906991958618164,True
A*_e1,4,9,9,0,0.004031658172607422,True
A*_e2,4,9,0,8,0.002992868423461914,True
aleatorio,4,0,0,0,0.002006053924560547,False
BFS,5,102,102,226,0.044137001037597656,True
DFS,5,2224,2224,4378,0.24147891998291016,True
DLS,5,0,0,0,0.004138946533203125,False
UCS e1,5,102,101,0,0.13231563568115234,True
UCS e2,5,102,0,226,0.13670921325683594,True
A*_e1,5,102,102,0,0.0067255496978759766,True
A*_e2,5,102,0,101,0.005297422409057617,True
aleatorio,5,0,0,0,0.002003192901611328,False
BFS,6,23,23,48,0.006014585494995117,True
DFS,6,693,693,1354,0.03331494331359863,True
DLS,6,0,0,0,0.002081155776977539,False
UCS e1,6,23,22,0,0.013759851455688477,True
UCS e2,6,23,0,48,0.07531261444091797,True
A*_e1,6,23,23,0,0.007061958312988281,True
A*_e2,6,23,0,22,0.008746862411499023,True
aleatorio,6,0,0,0,0.0029954910278320312,False
BFS,7,62,62,130,0.03624224662780762,True
DFS,7,2496,2496,4882,0.2680690288543701,True
DLS,7,0,0,0,0.003022432327270508,False
UCS e1,7,62,61,0,0.09390807151794434,True
UCS e2,7,62,0,130,0.18253779411315918,True
A*_e1,7,62,62,0,0.004525184631347656,True
A*_e2,7,62,0,61,0.003992557525634766,True
aleatorio,7,0,0,0,0.0020296573638916016,False
BFS,8,44,44,77,0.01230621337890625,True
DFS,8,1014,1014,1984,0.09420990943908691,True
DLS,8,0,0,0,0.003000020980834961,False
UCS e1,8,44,43,0,0.05028128623962402,True
UCS e2,8,44,0,77,0.037329912185668945,True
A*_e1,8,44,44,0,0.0060405731201171875,True
A*_e2,8,44,0,43,0.005998849868774414,True
aleatorio,8,0,0,0,0.004312992095947266,False
BFS,9,105,105,271,0.04675412178039551,True
DFS,9,1627,1627,3249,0.1892094612121582,True
DLS,9,0,0,0,0.0020051002502441406,False
UCS e1,9,105,104,0,0.172837495803833,True
UCS e2,9,105,0,271,0.16367053985595703,True
A*_e1,9,105,105,0,0.01132059097290039,True
A*_e2,9,105,0,104,0.010632038116455078,True
aleatorio,9,0,0,0,0.002037525177001953,False
BFS,10,87,87,174,0.029642820358276367,True
DFS,10,597,597,1192,0.01784539222717285,True
DLS,10,0,0,0,0.0020051002502441406,False
UCS e1,10,87,86,0,0.09329891204833984,True
UCS e2,10,87,0,174,0.12792682647705078,True
A*_e1,10,87,87,0,0.06711387634277344,True
A*_e2,10,87,0,86,0.04286336898803711,True
aleatorio,10,0,0,0,0.003208637237548828,False
BFS,11,96,96,109,0.03735923767089844,True
DFS,11,922,922,1716,0.036544084548950195,True
DLS,11,0,0,0,0.003010988235473633,False
UCS e1,11,96,95,0,0.1275179386138916,True
UCS e2,11,96,0,109,0.11256241798400879,True
A*_e1,11,96,96,0,0.019345760345458984,True
A*_e2,11,96,0,95,0.02068781852722168,True
aleatorio,11,0,0,0,0.0019986629486083984,False
BFS,12,118,118,155,0.04093122482299805,True
DFS,12,1646,1646,3143,0.3338453769683838,True
DLS,12,0,0,0,0.0020112991333007812,False
UCS e1,12,118,117,0,0.1575467586517334,True
UCS e2,12,118,0,155,0.20788812637329102,True
A*_e1,12,118,118,0,0.017421483993530273,True
A*_e2,12,118,0,117,0.01753973960876465,True
aleatorio,12,0,0,0,0.0030007362365722656,False
BFS,13,15,15,22,0.0039975643157958984,True
DFS,13,679,679,1311,0.02510857582092285,True
DLS,13,0,0,0,0.002009153366088867,False
UCS e1,13,15,14,0,0.006033182144165039,True
UCS e2,13,15,0,22,0.012256383895874023,True
A*_e1,13,15,15,0,0.0059986114501953125,True
A*_e2,13,15,0,14,0.0040302276611328125,True
aleatorio,13,0,0,0,0.0029947757720947266,False
BFS,14,118,118,291,0.04270148277282715,True
DFS,14,2292,2292,4529,0.21022558212280273,True
DLS,14,0,0,0,0.0020096302032470703,False
UCS e1,14,118,117,0,0.15970897674560547,True
UCS e2,14,118,0,291,0.16217422485351562,True
A*_e1,14,118,118,0,0.01764512062072754,True
A*_e2,14,118,0,117,0.020656108856201172,True
aleatorio,14,0,0,0,0.0030002593994140625,False
BFS,15,38,38,96,0.01925349235534668,True
DFS,15,400,400,809,0.07262063026428223,True
DLS,15,0,0,0,0.0025594234466552734,False
UCS e1,15,38,37,0,0.04652881622314453,True
UCS e2,15,38,0,96,0.12763738632202148,True
A*_e1,15,38,38,0,0.0041751861572265625,True
A*_e2,15,38,0,37,0.006012439727783203,True
