Algorithm,Queens,Seed,Final Heuristic,Iterations,Execution Time
Hill Climb,4,0,2,2,0.0
Simulated Annealing,4,0,0,189,0.0005247592926025391
Hill Climb,4,1,4,0,0.0
Simulated Annealing,4,1,0,114,0.0011544227600097656
Hill Climb,4,2,0,3,0.0
Simulated Annealing,4,2,0,17,0.0
Hill Climb,4,3,4,0,0.0005087852478027344
Simulated Annealing,4,3,0,154,0.0
Hill Climb,4,4,2,0,0.0
Simulated Annealing,4,4,0,10,0.0
Hill Climb,4,5,2,0,0.0
Simulated Annealing,4,5,0,2,0.0
Hill Climb,4,6,4,0,0.0
Simulated Annealing,4,6,0,3,0.0
Hill Climb,4,7,2,0,0.0
Simulated Annealing,4,7,0,157,0.0
Hill Climb,4,8,2,0,0.0
Simulated Annealing,4,8,0,61,0.0
Hill Climb,4,9,4,0,0.0
Simulated Annealing,4,9,0,86,0.0
Hill Climb,4,10,0,3,0.0
Simulated Annealing,4,10,0,198,0.0030164718627929688
Hill Climb,4,11,2,3,0.0
Simulated Annealing,4,11,0,102,0.0
Hill Climb,4,12,4,0,0.0
Simulated Annealing,4,12,0,109,0.0
Hill Climb,4,13,2,0,0.0
Simulated Annealing,4,13,0,20,0.0
Hill Climb,4,14,2,2,0.0
Simulated Annealing,4,14,0,167,0.0
Hill Climb,4,15,4,0,0.0
Simulated Annealing,4,15,0,101,0.0
Hill Climb,4,16,2,2,0.0
Simulated Annealing,4,16,0,200,0.004508495330810547
Hill Climb,4,17,4,0,0.0
Simulated Annealing,4,17,0,50,0.0
Hill Climb,4,18,0,3,0.0
Simulated Annealing,4,18,0,109,0.0
Hill Climb,4,19,4,0,0.0
Simulated Annealing,4,19,0,45,0.0
Hill Climb,4,20,4,0,0.0
Simulated Annealing,4,20,0,162,0.0012323856353759766
Hill Climb,4,21,2,0,0.0
Simulated Annealing,4,21,0,215,0.0
Hill Climb,4,22,0,0,0.0
Simulated Annealing,4,22,0,80,0.0
Hill Climb,4,23,2,2,0.0
Simulated Annealing,4,23,0,28,0.0
Hill Climb,4,24,2,0,0.0
Simulated Annealing,4,24,0,12,0.0
Hill Climb,4,25,2,2,0.0
Simulated Annealing,4,25,0,256,0.0
Hill Climb,4,26,2,0,0.0
Simulated Annealing,4,26,0,5,0.0
Hill Climb,4,27,0,3,0.0
Simulated Annealing,4,27,0,167,0.0
Hill Climb,4,28,4,0,0.0
Simulated Annealing,4,28,0,123,0.0
Hill Climb,4,29,0,0,0.0
Simulated Annealing,4,29,0,161,0.0
Hill Climb,8,0,2,2,0.0015485286712646484
Simulated Annealing,8,0,0,558,0.0
Hill Climb,8,1,0,2,0.0020301342010498047
Simulated Annealing,8,1,0,528,0.004509925842285156
Hill Climb,8,2,4,0,0.0
Simulated Annealing,8,2,0,375,0.0
Hill Climb,8,3,4,1,0.0
Simulated Annealing,8,3,0,206,0.005008697509765625
Hill Climb,8,4,2,2,0.0010170936584472656
Simulated Annealing,8,4,1,1000,0.006027698516845703
Hill Climb,8,5,4,2,0.0
Simulated Annealing,8,5,0,408,0.002538919448852539
Hill Climb,8,6,4,3,0.0
Simulated Annealing,8,6,0,238,0.0
Hill Climb,8,7,2,2,0.0
Simulated Annealing,8,7,0,223,0.010452747344970703
Hill Climb,8,8,2,3,0.0005049705505371094
Simulated Annealing,8,8,0,397,0.0040242671966552734
Hill Climb,8,9,2,4,0.0
Simulated Annealing,8,9,0,261,0.004517793655395508
Hill Climb,8,10,4,1,0.0
Simulated Annealing,8,10,0,414,0.002605438232421875
